GeneModel	Coverage	Integrity
PdomMRNAr1.2-05761.1	1	1
PdomMRNAr1.2-05762.1	1	0.95
PdomMRNAr1.2-05763.1	1	0.6
PdomMRNAr1.2-05764.1	1	0.81
PdomMRNAr1.2-05765.1	1	0.93
PdomMRNAr1.2-05766.1	1	0.9
PdomMRNAr1.2-05767.1	0.48	0.14
PdomMRNAr1.2-05768.1	1	0.99
PdomMRNAr1.2-05769.1	1	0.3
PdomMRNAr1.2-05770.1	0.83	0.73
PdomMRNAr1.2-05772.1	0.06	0.02
PdomMRNAr1.2-05773.1	0	NULL
PdomMRNAr1.2-05774.1	1	0.94
PdomMRNAr1.2-05775.1	1	0.92
PdomMRNAr1.2-05776.1	0.97	0.46
PdomMRNAr1.2-05777.1	0.31	0.09
PdomMRNAr1.2-05778.1	1	0.3
PdomMRNAr1.2-05779.1	0	0
PdomMRNAr1.2-05780.1	1	0.35
PdomMRNAr1.2-05781.1	0.92	0.29
PdomMRNAr1.2-05782.1	1	0.93
PdomMRNAr1.2-05783.1	1	0.92
PdomMRNAr1.2-05784.1	0	NULL
PdomMRNAr1.2-05785.1	1	1
PdomMRNAr1.2-05786.1	1	0.75
PdomMRNAr1.2-05787.1	1	1
PdomMRNAr1.2-05788.1	0.63	0.19
PdomMRNAr1.2-05789.1	0	NULL
PdomMRNAr1.2-05790.1	1	1
PdomMRNAr1.2-05791.1	1	0.99
PdomMRNAr1.2-05792.1	0.73	0.22
PdomMRNAr1.2-05793.1	1	0.6
PdomMRNAr1.2-05794.1	0.99	0.9
PdomMRNAr1.2-05795.1	0.91	0.47
PdomMRNAr1.2-05796.1	0.05	0.02
PdomMRNAr1.2-05797.1	0.14	0.04
PdomMRNAr1.2-05798.1	1	0.3
PdomMRNAr1.2-05799.1	1	0.95
PdomMRNAr1.2-05800.1	1	0.75
PdomMRNAr1.2-05801.1	0.99	0.3
PdomMRNAr1.2-05802.1	0.97	0.64
PdomMRNAr1.2-05803.1	1	0.9
PdomMRNAr1.2-05804.1	0	0
PdomMRNAr1.2-05805.1	0.98	0.82
PdomMRNAr1.2-05806.1	1	1
PdomMRNAr1.2-05807.1	1	0.95
PdomMRNAr1.2-05808.1	0.97	0.84
PdomMRNAr1.2-05809.1	0.92	0.28
PdomMRNAr1.2-05810.1	1	0.94
PdomMRNAr1.2-05811.1	1	0.91
PdomMRNAr1.2-05812.1	1	0.85
PdomMRNAr1.2-05813.1	1	0.8
PdomMRNAr1.2-05814.1	1	0.3
PdomMRNAr1.2-05815.1	1	0.78
PdomMRNAr1.2-05816.1	0.83	0.25
PdomMRNAr1.2-05817.1	1	0.81
PdomMRNAr1.2-05818.1	0	NULL
PdomMRNAr1.2-05819.1	1	0.7
PdomMRNAr1.2-05820.1	1	0.3
PdomMRNAr1.2-05821.1	0.92	0.63
PdomMRNAr1.2-05822.1	1	0.9
PdomMRNAr1.2-05823.1	1	0.97
PdomMRNAr1.2-05824.1	1	0.95
PdomMRNAr1.2-05825.1	1	0.95
PdomMRNAr1.2-05826.1	1	0.95
PdomMRNAr1.2-05827.1	0.51	0.3
PdomMRNAr1.2-05828.1	1	0.86
PdomMRNAr1.2-05829.1	1	0.82
PdomMRNAr1.2-05830.1	1	0.3
PdomMRNAr1.2-05831.1	1	0.86
PdomMRNAr1.2-05832.1	1	1
PdomMRNAr1.2-05833.1	1	0.95
PdomMRNAr1.2-05834.1	1	1
PdomMRNAr1.2-05835.1	0.92	0.7
PdomMRNAr1.2-05836.1	1	1
PdomMRNAr1.2-05837.1	1	0.3
PdomMRNAr1.2-05838.1	1	0.99
PdomMRNAr1.2-05839.1	0.27	0.08
PdomMRNAr1.2-05840.1	0.98	0.94
PdomMRNAr1.2-05841.1	0.25	0.08
PdomMRNAr1.2-05842.1	1	1
PdomMRNAr1.2-05843.1	1	0.3
PdomMRNAr1.2-05844.1	1	0.96
PdomMRNAr1.2-05845.1	0.94	0.53
PdomMRNAr1.2-05846.1	1	0.9
PdomMRNAr1.2-05847.1	1	1
PdomMRNAr1.2-05848.1	1	0.3
PdomMRNAr1.2-05849.1	1	0.76
PdomMRNAr1.2-05850.1	0.99	0.85
PdomMRNAr1.2-05851.1	1	1
PdomMRNAr1.2-05852.1	1	0.95
PdomMRNAr1.2-05853.1	1	0.3
PdomMRNAr1.2-05854.1	0.95	0.63
PdomMRNAr1.2-05855.1	0.79	0.29
PdomMRNAr1.2-05856.1	1	0.64
PdomMRNAr1.2-05857.1	0.99	0.76
PdomMRNAr1.2-05858.1	1	0.96
PdomMRNAr1.2-05859.1	0.97	0.89
PdomMRNAr1.2-05860.1	1	0.3
PdomMRNAr1.2-05861.1	1	0.99
PdomMRNAr1.2-05862.1	1	0.9
PdomMRNAr1.2-05863.1	0	NULL
PdomMRNAr1.2-05864.1	1	0.98
PdomMRNAr1.2-05865.1	1	1
PdomMRNAr1.2-05866.1	1	1
PdomMRNAr1.2-05867.1	0	NULL
PdomMRNAr1.2-05868.1	1	0.98
PdomMRNAr1.2-05869.1	0.98	0.44
PdomMRNAr1.2-05871.1	1	0.8
PdomMRNAr1.2-05872.1	1	0.9
PdomMRNAr1.2-05873.1	0.99	0.86
PdomMRNAr1.2-05874.1	1	0.3
PdomMRNAr1.2-05875.1	1	1
PdomMRNAr1.2-05876.1	1	1
PdomMRNAr1.2-05877.1	0.18	0.05
PdomMRNAr1.2-05878.1	1	0.65
PdomMRNAr1.2-05879.1	1	0.3
PdomMRNAr1.2-05880.1	1	1
PdomMRNAr1.2-05881.1	0	NULL
PdomMRNAr1.2-05882.1	1	0.3
PdomMRNAr1.2-05883.1	1	0.96
PdomMRNAr1.2-05884.1	1	0.74
PdomMRNAr1.2-05885.1	1	0.97
PdomMRNAr1.2-05886.1	1	1
PdomMRNAr1.2-05887.1	0.33	0.2
PdomMRNAr1.2-05888.1	1	0.9
PdomMRNAr1.2-05889.1	0	0
PdomMRNAr1.2-05890.1	1	0.73
PdomMRNAr1.2-05891.1	0.02	0.01
PdomMRNAr1.2-05892.1	1	1
PdomMRNAr1.2-05893.1	0	NULL
PdomMRNAr1.2-05894.1	0.76	0.28
PdomMRNAr1.2-05895.1	0	NULL
PdomMRNAr1.2-05896.1	0.64	0.19
PdomMRNAr1.2-05897.1	0.14	0.04
PdomMRNAr1.2-05898.1	1	0.94
PdomMRNAr1.2-05899.1	1	0.9
PdomMRNAr1.2-05900.1	1	1
PdomMRNAr1.2-05901.1	0.37	0.11
PdomMRNAr1.2-05902.1	1	0.91
PdomMRNAr1.2-05903.1	0.98	0.39
PdomMRNAr1.2-05904.1	1	1
PdomMRNAr1.2-05905.1	0.96	0.58
PdomMRNAr1.2-05906.1	0.8	0.51
PdomMRNAr1.2-05907.1	0.76	0.23
PdomMRNAr1.2-05908.1	1	0.76
PdomMRNAr1.2-05909.1	1	1
PdomMRNAr1.2-05910.1	1	0.75
PdomMRNAr1.2-05911.1	0.75	0.23
PdomMRNAr1.2-05912.1	1	1
PdomMRNAr1.2-05913.1	0.32	0.09
PdomMRNAr1.2-05914.1	1	0.3
PdomMRNAr1.2-05915.1	0.63	0.36
PdomMRNAr1.2-05916.1	1	0.9
PdomMRNAr1.2-05917.1	1	0.91
PdomMRNAr1.2-05918.1	1	1
PdomMRNAr1.2-05919.1	0.92	0.76
PdomMRNAr1.2-05920.1	1	0.75
PdomMRNAr1.2-05921.1	0.97	0.96
PdomMRNAr1.2-05922.1	1	0.98
PdomMRNAr1.2-05923.1	1	0.9
PdomMRNAr1.2-05924.1	1	1
PdomMRNAr1.2-05925.1	0.72	0.22
PdomMRNAr1.2-05926.1	0.99	0.75
PdomMRNAr1.2-05927.1	0.18	0.06
PdomMRNAr1.2-05928.1	0	NULL
PdomMRNAr1.2-05929.1	0.11	0.03
PdomMRNAr1.2-05930.1	0.83	0.25
PdomMRNAr1.2-05931.1	0.98	0.84
PdomMRNAr1.2-05932.1	0.99	0.7
PdomMRNAr1.2-05933.1	1	0.92
PdomMRNAr1.2-05934.1	1	1
PdomMRNAr1.2-05935.1	1	1
PdomMRNAr1.2-05936.1	1	1
PdomMRNAr1.2-05937.1	1	0.65
PdomMRNAr1.2-05938.1	1	0.92
PdomMRNAr1.2-05940.1	0.06	0.62
PdomMRNAr1.2-05941.1	1	0.99
PdomMRNAr1.2-05942.1	1	0.3
PdomMRNAr1.2-05943.1	0.98	0.96
PdomMRNAr1.2-05944.1	1	0.91
PdomMRNAr1.2-05945.1	0.9	0.28
PdomMRNAr1.2-05946.1	1	0.95
PdomMRNAr1.2-05947.1	0.88	0.26
PdomMRNAr1.2-05948.1	1	0.35
PdomMRNAr1.2-05949.1	0.98	0.9
PdomMRNAr1.2-05950.1	1	0.83
PdomMRNAr1.2-05951.1	1	1
PdomMRNAr1.2-05952.1	1	1
PdomMRNAr1.2-05953.1	0	NULL
PdomMRNAr1.2-05954.1	0.48	0.15
PdomMRNAr1.2-05955.1	1	0.96
PdomMRNAr1.2-05956.1	1	1
PdomMRNAr1.2-05957.1	1	0.6
PdomMRNAr1.2-05958.1	1	1
PdomMRNAr1.2-05959.1	1	0.75
PdomMRNAr1.2-05960.1	1	1
PdomMRNAr1.2-05961.1	1	0.75
PdomMRNAr1.2-05962.1	1	0.95
PdomMRNAr1.2-05963.1	1	0.7
PdomMRNAr1.2-05964.1	1	0.91
PdomMRNAr1.2-05965.1	1	1
PdomMRNAr1.2-05966.1	0	NULL
PdomMRNAr1.2-05967.1	0	NULL
PdomMRNAr1.2-05968.1	1	0.92
PdomMRNAr1.2-05969.1	1	1
PdomMRNAr1.2-05970.1	1	0.85
PdomMRNAr1.2-05971.1	1	0.96
PdomMRNAr1.2-05972.1	0.94	0.28
PdomMRNAr1.2-05973.1	1	1
PdomMRNAr1.2-05974.1	0.06	0.02
PdomMRNAr1.2-05975.1	0.52	0.16
PdomMRNAr1.2-05976.1	1	0.8
PdomMRNAr1.2-05977.1	1	0.9
PdomMRNAr1.2-05978.1	1	1
PdomMRNAr1.2-05979.1	1	1
PdomMRNAr1.2-05980.1	1	0.99
PdomMRNAr1.2-05981.1	0	NULL
PdomMRNAr1.2-05982.1	0.99	0.3
PdomMRNAr1.2-05983.1	1	0.95
PdomMRNAr1.2-05984.1	1	0.98
PdomMRNAr1.2-05985.1	1	0.94
PdomMRNAr1.2-05986.1	0	0
PdomMRNAr1.2-05987.1	1	0.65
PdomMRNAr1.2-05988.1	1	0.71
PdomMRNAr1.2-05989.1	1	0.65
PdomMRNAr1.2-05990.1	0	NULL
PdomMRNAr1.2-05991.1	0	NULL
PdomMRNAr1.2-05992.1	1	1
PdomMRNAr1.2-05995.1	1	0.6
PdomMRNAr1.2-05996.1	0	NULL
PdomMRNAr1.2-05997.1	0	NULL
PdomMRNAr1.2-05998.1	1	0.9
PdomMRNAr1.2-05999.1	1	0.3
PdomMRNAr1.2-06000.1	0.7	0.21
PdomMRNAr1.2-06001.1	0.45	0.5
PdomMRNAr1.2-06002.1	1	0.9
PdomMRNAr1.2-06003.1	0.99	0.75
PdomMRNAr1.2-06004.1	0	NULL
PdomMRNAr1.2-06005.1	1	0.3
PdomMRNAr1.2-06006.1	1	0.66
PdomMRNAr1.2-06007.1	0.98	0.29
PdomMRNAr1.2-06008.1	1	0.95
PdomMRNAr1.2-06009.1	1	0.5
PdomMRNAr1.2-06010.1	1	1
PdomMRNAr1.2-06011.1	0	0
PdomMRNAr1.2-06012.1	1	0.94
PdomMRNAr1.2-06013.1	1	1
PdomMRNAr1.2-06014.1	1	1
PdomMRNAr1.2-06015.1	1	1
PdomMRNAr1.2-06016.1	1	0.95
PdomMRNAr1.2-06017.1	1	1
PdomMRNAr1.2-06018.1	0.23	0.07
PdomMRNAr1.2-06019.1	1	1
PdomMRNAr1.2-06020.1	1	0.9
PdomMRNAr1.2-06021.1	1	1
PdomMRNAr1.2-06022.1	1	0.9
PdomMRNAr1.2-06023.1	1	0.99
PdomMRNAr1.2-06024.1	0.68	0.32
PdomMRNAr1.2-06025.1	1	0.47
PdomMRNAr1.2-06026.1	1	0.9
PdomMRNAr1.2-06027.1	1	0.95
PdomMRNAr1.2-06028.1	1	0.95
PdomMRNAr1.2-06029.1	1	0.9
PdomMRNAr1.2-06030.1	0	NULL
PdomMRNAr1.2-06031.1	0.6	0.18
PdomMRNAr1.2-06032.1	1	0.95
PdomMRNAr1.2-06033.1	1	1
PdomMRNAr1.2-06034.1	1	0.9
PdomMRNAr1.2-06035.1	1	0.95
PdomMRNAr1.2-06036.1	0.1	0.03
PdomMRNAr1.2-06037.1	0	NULL
PdomMRNAr1.2-06038.1	1	1
PdomMRNAr1.2-06039.1	1	1
PdomMRNAr1.2-06040.1	0	NULL
PdomMRNAr1.2-06041.1	0.99	0.95
PdomMRNAr1.2-06042.1	1	0.6
PdomMRNAr1.2-06043.1	1	0.99
PdomMRNAr1.2-06044.1	1	1
PdomMRNAr1.2-06045.1	1	1
PdomMRNAr1.2-06046.1	0.14	0.04
PdomMRNAr1.2-06047.1	0.5	0.17
PdomMRNAr1.2-06048.1	0.78	0.24
PdomMRNAr1.2-06049.1	1	1
PdomMRNAr1.2-06050.1	1	0.9
PdomMRNAr1.2-06052.1	1	0.3
PdomMRNAr1.2-06053.1	1	0.95
PdomMRNAr1.2-06054.1	1	0.84
PdomMRNAr1.2-06055.1	1	1
PdomMRNAr1.2-06056.1	1	0.3
PdomMRNAr1.2-06057.1	0	NULL
PdomMRNAr1.2-06058.1	1	0.81
PdomMRNAr1.2-06059.1	1	0.97
PdomMRNAr1.2-06060.1	0.23	0.07
PdomMRNAr1.2-06061.1	1	0.89
PdomMRNAr1.2-06062.1	0.95	0.51
PdomMRNAr1.2-06063.1	1	0.8
PdomMRNAr1.2-06064.1	1	0.7
PdomMRNAr1.2-06065.1	0.14	0.04
PdomMRNAr1.2-06066.1	0	0
PdomMRNAr1.2-06067.1	0.63	0.52
PdomMRNAr1.2-06068.1	0.47	0.41
PdomMRNAr1.2-06069.1	0.97	0.91
PdomMRNAr1.2-06070.1	1	1
PdomMRNAr1.2-06071.1	1	0.3
PdomMRNAr1.2-06072.1	0.74	0.36
PdomMRNAr1.2-06073.1	1	0.67
PdomMRNAr1.2-06074.1	1	1
PdomMRNAr1.2-06075.1	1	0.78
PdomMRNAr1.2-06076.1	1	0.3
PdomMRNAr1.2-06077.1	1	0.83
PdomMRNAr1.2-06078.1	0.04	0.01
PdomMRNAr1.2-06079.1	1	1
PdomMRNAr1.2-06080.1	1	0.98
PdomMRNAr1.2-06081.1	1	0.9
PdomMRNAr1.2-06082.1	0.89	0.32
PdomMRNAr1.2-06083.1	0.33	0.1
PdomMRNAr1.2-06084.1	1	0.3
PdomMRNAr1.2-06085.1	1	1
PdomMRNAr1.2-06086.1	1	0.52
PdomMRNAr1.2-06087.1	1	0.9
PdomMRNAr1.2-06088.1	0.97	0.94
PdomMRNAr1.2-06089.1	0.91	0.82
PdomMRNAr1.2-06090.1	1	0.3
PdomMRNAr1.2-06091.1	1	0.95
PdomMRNAr1.2-06092.1	0	NULL
PdomMRNAr1.2-06093.1	0	NULL
PdomMRNAr1.2-06094.1	0.29	0.26
PdomMRNAr1.2-06095.1	0.46	0.14
PdomMRNAr1.2-06096.1	1	0.93
PdomMRNAr1.2-06097.1	1	0.94
PdomMRNAr1.2-06098.1	1	0.96
PdomMRNAr1.2-06099.1	0.95	0.54
PdomMRNAr1.2-06100.1	0	NULL
PdomMRNAr1.2-06102.1	0.06	0.02
PdomMRNAr1.2-06103.1	1	0.35
PdomMRNAr1.2-06104.1	1	1
PdomMRNAr1.2-06105.1	0.96	0.79
PdomMRNAr1.2-06106.1	0.23	0.07
PdomMRNAr1.2-06107.1	1	0.99
PdomMRNAr1.2-06108.1	1	0.99
PdomMRNAr1.2-06109.1	1	0.9
PdomMRNAr1.2-06110.1	1	1
PdomMRNAr1.2-06111.1	1	0.95
PdomMRNAr1.2-06112.1	0.26	0.08
PdomMRNAr1.2-06113.1	1	0.84
PdomMRNAr1.2-06114.1	0.43	0.13
PdomMRNAr1.2-06115.1	1	0.9
PdomMRNAr1.2-06117.1	1	0.93
PdomMRNAr1.2-06118.1	1	0.83
PdomMRNAr1.2-06119.1	0.9	0.57
PdomMRNAr1.2-06121.1	0	NULL
PdomMRNAr1.2-06122.1	1	0.95
PdomMRNAr1.2-06123.1	0.98	0.76
PdomMRNAr1.2-06124.1	1	0.97
PdomMRNAr1.2-06125.1	1	0.94
PdomMRNAr1.2-06126.1	1	0.99
PdomMRNAr1.2-06127.1	0.94	0.88
PdomMRNAr1.2-06128.1	1	0.6
PdomMRNAr1.2-06129.1	1	0.62
PdomMRNAr1.2-06130.1	0	NULL
PdomMRNAr1.2-06131.1	1	0.95
PdomMRNAr1.2-06132.1	1	1
PdomMRNAr1.2-06133.1	1	0.6
PdomMRNAr1.2-06134.1	0.99	0.75
PdomMRNAr1.2-06135.1	0.18	0.05
PdomMRNAr1.2-06136.1	1	0.99
PdomMRNAr1.2-06137.1	0.76	0.23
PdomMRNAr1.2-06138.1	1	0.76
PdomMRNAr1.2-06139.1	0.99	0.91
PdomMRNAr1.2-06140.1	0.25	0.07
PdomMRNAr1.2-06141.1	0.33	0.1
PdomMRNAr1.2-06142.1	1	0.98
PdomMRNAr1.2-06143.1	1	0.9
PdomMRNAr1.2-06144.1	1	0.94
PdomMRNAr1.2-06145.1	0.72	0.51
PdomMRNAr1.2-06146.1	0.89	0.62
PdomMRNAr1.2-06147.1	0.95	0.6
PdomMRNAr1.2-06148.1	0.73	0.22
PdomMRNAr1.2-06149.1	1	0.75
PdomMRNAr1.2-06150.1	1	0.92
PdomMRNAr1.2-06151.1	0.85	0.67
PdomMRNAr1.2-06152.1	0.02	0.01
PdomMRNAr1.2-06153.1	1	0.9
PdomMRNAr1.2-06154.1	0.94	0.68
PdomMRNAr1.2-06155.1	1	0.99
PdomMRNAr1.2-06156.1	1	0.65
PdomMRNAr1.2-06157.1	0.64	0.2
PdomMRNAr1.2-06158.1	1	0.6
PdomMRNAr1.2-06159.1	1	0.93
PdomMRNAr1.2-06160.1	1	0.97
PdomMRNAr1.2-06161.1	1	0.95
PdomMRNAr1.2-06162.1	0.99	0.92
PdomMRNAr1.2-06163.1	1	1
PdomMRNAr1.2-06164.1	0.99	0.3
PdomMRNAr1.2-06165.1	0.82	0.75
PdomMRNAr1.2-06166.1	1	0.35
PdomMRNAr1.2-06167.1	0.87	0.68
PdomMRNAr1.2-06168.1	0.97	0.94
PdomMRNAr1.2-06169.1	1	0.7
PdomMRNAr1.2-06170.1	1	1
PdomMRNAr1.2-06171.1	0.88	0.54
PdomMRNAr1.2-06172.1	1	0.9
PdomMRNAr1.2-06173.1	1	0.92
PdomMRNAr1.2-06174.1	1	0.95
PdomMRNAr1.2-06175.1	1	0.86
PdomMRNAr1.2-06176.1	0.92	0.67
PdomMRNAr1.2-06177.1	1	0.98
PdomMRNAr1.2-06178.1	1	0.9
PdomMRNAr1.2-06179.1	1	1
PdomMRNAr1.2-06180.1	1	0.99
PdomMRNAr1.2-06181.1	1	0.89
PdomMRNAr1.2-06182.1	1	0.91
PdomMRNAr1.2-06183.1	1	0.94
PdomMRNAr1.2-06185.1	0.19	0.23
PdomMRNAr1.2-06186.1	0.98	0.9
PdomMRNAr1.2-06187.1	1	1
PdomMRNAr1.2-06188.1	1	0.95
PdomMRNAr1.2-06189.1	1	0.65
PdomMRNAr1.2-06190.1	0.55	0.17
PdomMRNAr1.2-06191.1	1	0.96
PdomMRNAr1.2-06192.1	1	0.3
PdomMRNAr1.2-06193.1	1	0.75
PdomMRNAr1.2-06194.1	0.05	0.02
PdomMRNAr1.2-06195.1	0.97	0.85
PdomMRNAr1.2-06196.1	0.99	0.7
PdomMRNAr1.2-06197.1	1	1
PdomMRNAr1.2-06198.1	1	1
PdomMRNAr1.2-06199.1	1	1
PdomMRNAr1.2-06200.1	1	1
PdomMRNAr1.2-06201.1	1	0.9
PdomMRNAr1.2-06202.1	0	NULL
PdomMRNAr1.2-06203.1	0.08	0.02
PdomMRNAr1.2-06204.1	1	0.68
PdomMRNAr1.2-06205.1	1	0.6
PdomMRNAr1.2-06206.1	0.85	0.28
PdomMRNAr1.2-06207.1	0.97	0.64
PdomMRNAr1.2-06208.1	0.17	0.05
PdomMRNAr1.2-06209.1	0.85	0.25
PdomMRNAr1.2-06210.1	1	1
PdomMRNAr1.2-06211.1	1	0.91
PdomMRNAr1.2-06212.1	1	1
PdomMRNAr1.2-06213.1	0.99	0.83
PdomMRNAr1.2-06214.1	1	0.3
PdomMRNAr1.2-06215.1	1	0.94
PdomMRNAr1.2-06216.1	1	0.92
PdomMRNAr1.2-06217.1	0.99	0.6
PdomMRNAr1.2-06218.1	1	1
PdomMRNAr1.2-06219.1	1	0.75
PdomMRNAr1.2-06220.1	0	NULL
PdomMRNAr1.2-06221.1	1	0.92
PdomMRNAr1.2-06222.1	0	NULL
PdomMRNAr1.2-06223.1	0.05	0.02
PdomMRNAr1.2-06224.1	1	0.95
PdomMRNAr1.2-06225.1	0.99	0.83
PdomMRNAr1.2-06226.1	1	1
PdomMRNAr1.2-06227.1	1	0.65
PdomMRNAr1.2-06228.1	1	0.3
PdomMRNAr1.2-06229.1	0	NULL
PdomMRNAr1.2-06230.1	1	0.65
PdomMRNAr1.2-06231.1	1	0.85
PdomMRNAr1.2-06232.1	1	0.9
PdomMRNAr1.2-06233.1	0	NULL
PdomMRNAr1.2-06234.1	1	1
PdomMRNAr1.2-06235.1	1	0.95
PdomMRNAr1.2-06236.1	1	1
PdomMRNAr1.2-06237.1	1	0.84
PdomMRNAr1.2-06238.1	0	NULL
PdomMRNAr1.2-06239.1	1	0.91
PdomMRNAr1.2-06240.1	0.98	0.92
PdomMRNAr1.2-06241.1	1	0.95
PdomMRNAr1.2-06242.1	1	1
PdomMRNAr1.2-06243.1	0.98	0.92
PdomMRNAr1.2-06244.1	1	0.95
PdomMRNAr1.2-06245.1	0.96	0.64
PdomMRNAr1.2-06246.1	0	0
PdomMRNAr1.2-06247.1	1	0.98
PdomMRNAr1.2-06248.1	1	0.95
PdomMRNAr1.2-06249.1	0	0
PdomMRNAr1.2-06250.1	1	0.93
PdomMRNAr1.2-06251.1	1	0.81
PdomMRNAr1.2-06252.1	1	0.95
PdomMRNAr1.2-06253.1	1	1
PdomMRNAr1.2-06254.1	1	0.98
PdomMRNAr1.2-06255.1	1	1
PdomMRNAr1.2-06256.1	1	0.8
PdomMRNAr1.2-06257.1	1	0.95
PdomMRNAr1.2-06258.1	0.19	0.06
PdomMRNAr1.2-06259.1	1	0.3
PdomMRNAr1.2-06260.1	1	0.9
PdomMRNAr1.2-06262.1	0.42	0.15
PdomMRNAr1.2-06263.1	0.88	0.26
PdomMRNAr1.2-06264.1	1	0.94
PdomMRNAr1.2-06265.1	0.97	0.92
PdomMRNAr1.2-06266.1	0.96	0.83
PdomMRNAr1.2-06267.1	1	0.75
PdomMRNAr1.2-06269.1	0	NULL
PdomMRNAr1.2-06270.1	1	0.95
PdomMRNAr1.2-06271.1	1	0.94
PdomMRNAr1.2-06272.1	0.1	0.03
PdomMRNAr1.2-06273.1	1	0.9
PdomMRNAr1.2-06274.1	1	0.91
PdomMRNAr1.2-06275.1	1	0.78
PdomMRNAr1.2-06276.1	0.68	0.21
PdomMRNAr1.2-06277.1	0.99	0.82
PdomMRNAr1.2-06278.1	1	0.94
PdomMRNAr1.2-06279.1	1	0.89
PdomMRNAr1.2-06280.1	1	0.9
PdomMRNAr1.2-06281.1	1	0.94
PdomMRNAr1.2-06282.1	1	0.3
PdomMRNAr1.2-06283.1	1	0.92
PdomMRNAr1.2-06284.1	1	0.97
PdomMRNAr1.2-06285.1	0.67	0.2
PdomMRNAr1.2-06286.1	0.75	0.46
PdomMRNAr1.2-06287.1	0.56	0.17
PdomMRNAr1.2-06288.1	0.58	0.17
PdomMRNAr1.2-06289.1	1	0.95
PdomMRNAr1.2-06290.1	1	0.6
PdomMRNAr1.2-06291.1	1	1
PdomMRNAr1.2-06292.1	1	0.78
PdomMRNAr1.2-06293.1	1	0.3
PdomMRNAr1.2-06294.1	1	0.67
PdomMRNAr1.2-06295.1	0.55	0.16
PdomMRNAr1.2-06296.1	1	0.95
PdomMRNAr1.2-06297.1	0	NULL
PdomMRNAr1.2-06298.1	1	1
PdomMRNAr1.2-06299.1	0.45	0.13
PdomMRNAr1.2-06300.1	0.03	0.01
PdomMRNAr1.2-06301.1	1	0.74
PdomMRNAr1.2-06302.1	1	0.91
PdomMRNAr1.2-06303.1	1	1
PdomMRNAr1.2-06304.1	1	0.9
PdomMRNAr1.2-06305.1	1	0.79
PdomMRNAr1.2-06306.1	1	0.85
PdomMRNAr1.2-06307.1	0.98	0.94
PdomMRNAr1.2-06308.1	1	0.6
PdomMRNAr1.2-06309.1	0.05	0.01
PdomMRNAr1.2-06310.1	1	0.32
PdomMRNAr1.2-06311.1	0.15	0.04
PdomMRNAr1.2-06312.1	1	0.82
PdomMRNAr1.2-06313.1	0.15	0.05
PdomMRNAr1.2-06314.1	1	0.9
PdomMRNAr1.2-06315.1	0.95	0.31
PdomMRNAr1.2-06317.1	0	NULL
PdomMRNAr1.2-06318.1	1	0.9
PdomMRNAr1.2-06319.1	1	1
PdomMRNAr1.2-06320.1	0.99	0.85
PdomMRNAr1.2-06321.1	1	0.8
PdomMRNAr1.2-06322.1	1	0.81
PdomMRNAr1.2-06323.1	1	0.97
PdomMRNAr1.2-06324.1	1	0.86
PdomMRNAr1.2-06325.1	1	1
PdomMRNAr1.2-06326.1	1	1
PdomMRNAr1.2-06327.1	0.11	0.03
PdomMRNAr1.2-06329.1	1	0.95
PdomMRNAr1.2-06330.1	1	0.97
PdomMRNAr1.2-06331.1	0.84	0.25
PdomMRNAr1.2-06332.1	0.88	0.88
PdomMRNAr1.2-06333.1	0.57	0.22
PdomMRNAr1.2-06334.1	0.97	0.79
PdomMRNAr1.2-06335.1	0.92	0.28
PdomMRNAr1.2-06336.1	1	0.79
PdomMRNAr1.2-06337.1	1	1
PdomMRNAr1.2-06338.1	1	0.9
PdomMRNAr1.2-06339.1	0.99	0.65
PdomMRNAr1.2-06340.1	0.88	0.47
PdomMRNAr1.2-06341.1	0.23	0.07
PdomMRNAr1.2-06342.1	0.99	0.95
PdomMRNAr1.2-06343.1	1	0.75
PdomMRNAr1.2-06344.1	1	0.84
PdomMRNAr1.2-06345.1	0.99	0.7
PdomMRNAr1.2-06346.1	0	NULL
PdomMRNAr1.2-06347.1	0.83	0.59
PdomMRNAr1.2-06348.1	1	0.7
PdomMRNAr1.2-06349.1	0.08	0.02
PdomMRNAr1.2-06350.1	0.95	0.69
PdomMRNAr1.2-06351.1	1	0.9
PdomMRNAr1.2-06352.1	0.99	0.32
PdomMRNAr1.2-06353.1	1	1
PdomMRNAr1.2-06354.1	1	0.95
PdomMRNAr1.2-06355.1	1	0.98
PdomMRNAr1.2-06356.1	1	0.65
PdomMRNAr1.2-06357.1	1	0.98
PdomMRNAr1.2-06358.1	1	0.92
PdomMRNAr1.2-06359.1	1	1
PdomMRNAr1.2-06360.1	1	0.8
PdomMRNAr1.2-06361.1	0.99	0.31
PdomMRNAr1.2-06362.1	0	NULL
PdomMRNAr1.2-06363.1	0	0
PdomMRNAr1.2-06365.1	0.05	0.01
PdomMRNAr1.2-06366.1	1	0.95
PdomMRNAr1.2-06367.1	1	0.73
PdomMRNAr1.2-06368.1	0.82	0.42
PdomMRNAr1.2-06369.1	0.31	0.09
PdomMRNAr1.2-06370.1	0.7	0.21
PdomMRNAr1.2-06371.1	0.42	0.16
PdomMRNAr1.2-06372.1	0.25	0.08
PdomMRNAr1.2-06373.1	1	0.92
PdomMRNAr1.2-06374.1	0.96	0.39
PdomMRNAr1.2-06375.1	0.99	0.95
